key,units,period,geography,category,description,source,technical notes
COPD or asthma hospitalizations,"per 10,000 residents 40+",2011-2013,ZIP Code,Hospitalizations,"PQI #5. Principal diagnosis for COPD, asthma, or acute bronchitis. Includes secondary diagnoses for cystic fibrosis and transfers from other facilities.","COMPdata Informatics, Illinois Health and Hospital Association",http://www.qualityindicators.ahrq.gov/Downloads/Modules/PQI/V50/TechSpecs/PQI_05_COPD_or_Asthma_in_Older_Adults_Admission_Rate.pdf
Diabetes hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,"Principal diagnosis for diabetes (Type I or II), with or without complications.","COMPdata Informatics, Illinois Health and Hospital Association",
Diabetes short-term complication hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,"PQI #1. Principal diagnosis for ketoacidosis, hyperosmolarity, or coma.","COMPdata Informatics, Illinois Health and Hospital Association",http://www.qualityindicators.ahrq.gov/Downloads/Modules/PQI/V50/TechSpecs/PQI_01_Diabetes_Short-term_Complications_Admission_Rate.pdf
Diabetes long-term complication hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,"PQI #3. Principal diagnosis for renal, eye, neurological, circulatory, or other long-term complications.","COMPdata Informatics, Illinois Health and Hospital Association",http://www.qualityindicators.ahrq.gov/Downloads/Modules/PQI/V50/TechSpecs/PQI_03_Diabetes_Long-term_Complications_Admission_Rate.pdf
Uncontrolled diabetes hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,"Principal diagnosis of uncontrolled diabetes, type I or II, with or without short- or long-term complications. ","COMPdata Informatics, Illinois Health and Hospital Association",
Heart disease hospitalizations,"per 10,000 residents 18+",2011-2013,ZIP Code,Hospitalizations,Principal diagnosis for heart disease.,"COMPdata Informatics, Illinois Health and Hospital Association",
Heart failure hospitalizations,"per 10,000 residents 18+",2011-2013,ZIP Code,Hospitalizations,"PQI #8. Principal diagnosis for heart failure, ","COMPdata Informatics, Illinois Health and Hospital Association",
Hypertension hospitalizations,"per 10,000 residents 18+",2011-2013,ZIP Code,Hospitalizations,"PQI #7. Principal diagnosis for hypertension, not excluding cases with other listed ICD codes for cardiac procedures or kidney disease with dialysis, or transfers.","COMPdata Informatics, Illinois Health and Hospital Association",http://www.qualityindicators.ahrq.gov/Downloads/Modules/PQI/V50/TechSpecs/PQI_07_Hypertension_Admission_Rate.pdf
Mood disorder hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,Principal diagnosis for a mood disorder (bipolar disorder or depression).,"COMPdata Informatics, Illinois Health and Hospital Association",
Bacterial pneumonia hospitalizations,"per 10,000 residents 18+",2011-2013,ZIP Code,Hospitalizations,"PQI #11. Principal diagnosis for bacterial pneumonia, including secondary diagnoses for sickle-cell anemia or immunocompromised state. ","COMPdata Informatics, Illinois Health and Hospital Association",http://www.qualityindicators.ahrq.gov/Downloads/Modules/PQI/V50/TechSpecs/PQI_11_Bacterial_Pneumonia_Admission_Rate.pdf
Preventable hospitalizations,"per 10,000 residents 18+",2011-2013,ZIP Code,Hospitalizations,"PQI #90. Hospitalizations with a principal diagnosis for conditions best treated in an ambulatory care setting, including: diabetes with short-term complications, diabetes with long-term complications, uncontrolled diabetes without complications, chronic obstructive pulmonary disease, asthma, hypertension, heart failure, dehydration, bacterial pneumonia or urinary tract infection. Excludes diabetes with lower extremity amuputation and angina without procedure.","COMPdata Informatics, Illinois Health and Hospital Association",http://qualityindicators.ahrq.gov/Downloads/Modules/PQI/V50/TechSpecs/PQI_90_Prevention_Quality_Overall_Composite_.pdf
Substance-related disorder hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,Principal diagnosis.,"COMPdata Informatics, Illinois Health and Hospital Association",
Schizophrenia hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,Principal diagnosis.,"COMPdata Informatics, Illinois Health and Hospital Association",
Stroke hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,"Principal diagnosis for subarachnoid stroke, hemorrhagic stroke, ischemic stroke, or other cerebrovascular disease.","COMPdata Informatics, Illinois Health and Hospital Association",
Non-traumatic dental hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,Principal diagnosis.,"COMPdata Informatics, Illinois Health and Hospital Association",
Days in hospital,"days yearly per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,"Total patient-days spent hospitalized, excluding childbirth.","COMPdata Informatics, Illinois Health and Hospital Association",
"Days in hospital, pediatric","days yearly per 10,000 residents <18",2011-2013,ZIP Code,Hospitalizations,"Total patient-days spent hospitalized, excluding childbirth.","COMPdata Informatics, Illinois Health and Hospital Association",
"Days in hospital, elderly","days yearly per 10,000 residents 65+",2011-2013,ZIP Code,Hospitalizations,"Total patient-days spent hospitalized, excluding childbirth.","COMPdata Informatics, Illinois Health and Hospital Association",
Hospitalization charges,"$ yearly per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,"Billed charges for hospital stays, excluding childbirth.","COMPdata Informatics, Illinois Health and Hospital Association",
"Hospitalization charges, pediatric","$ yearly per 10,000 residents <18",2011-2013,ZIP Code,Hospitalizations,"Billed charges for hospital stays, excluding childbirth.","COMPdata Informatics, Illinois Health and Hospital Association",
"Hospitalization charges, elderly","$ yearly per 10,000 residents 65+",2011-2013,ZIP Code,Hospitalizations,"Billed charges for hospital stays, excluding childbirth.","COMPdata Informatics, Illinois Health and Hospital Association",
Cancer incidence,"yearly new cases per 100,000 residents",1988-2012,ZIP Code,Cancer,Based on 2000 population. Values are suppressed if there were between 1 and 9 incidents over the time period. Rates may vary widely for small ZIP codes.,Illinois Department of Public Health,
Breast cancer incidence,"yearly new cases per 100,000 residents",1988-2012,ZIP Code,Cancer,"Based on 2000 population. Invasive breast cancer, women only. Values are suppressed if there were between 1 and 9 incidents over the time period. Rates may vary widely for small ZIP codes.",Illinois Department of Public Health,
Cervical cancer incidence,"yearly new cases per 100,000 residents",1988-2012,ZIP Code,Cancer,Based on 2000 population. Values are suppressed if there were between 1 and 9 incidents over the time period. Rates may vary widely for small ZIP codes.,Illinois Department of Public Health,
Colorectal cancer incidence,"yearly new cases per 100,000 residents",1988-2012,ZIP Code,Cancer,Based on 2000 population. Values are suppressed if there were between 1 and 9 incidents over the time period. Rates may vary widely for small ZIP codes.,Illinois Department of Public Health,
Leukemia and lymphoma incidence,"yearly new cases per 100,000 residents",1988-2012,ZIP Code,Cancer,Based on 2000 population. Values are suppressed if there were between 1 and 9 incidents over the time period. Rates may vary widely for small ZIP codes.,Illinois Department of Public Health,
Lung cancer incidence,"yearly new cases per 100,000 residents",1988-2012,ZIP Code,Cancer,Based on 2000 population. Includes bronchal cancer. Values are suppressed if there were between 1 and 9 incidents over the time period. Rates may vary widely for small ZIP codes.,Illinois Department of Public Health,
Prostate cancer incidence,"yearly new cases per 100,000 residents",1988-2012,ZIP Code,Cancer,Based on 2000 population. Values are suppressed if there were between 1 and 9 incidents over the time period. Rates may vary widely for small ZIP codes.,Illinois Department of Public Health,
Oral cancer incidence,"yearly new cases per 100,000 residents",1988-2012,ZIP Code,Cancer,Based on 2000 population. Values are suppressed if there were between 1 and 9 incidents over the time period. Rates may vary widely for small ZIP codes.,Illinois Department of Public Health,
Overall Child Opportunity Index,,2014,ZIP Code,Chicago Child Health,"The Child Opportunity Index evaluates the neighborhood-based opportunities that influence a child's health and development. The index is a z-score comparing all ZIP codes within a metropolitan area; higher values indicate better opportunity. The Overall Childhood Opportunity Index is a composite of the Educational, Health and Environmental, and Social and Economic sub-indices.",Brandeis University and the Kirwan Institute as modified and calculated by the Chicago Department of Public Health Office of Epidemiology. Methodology at http://www.diversitydatakids.org/files/CHILDOI/DOCS/DDK_KIRWAN_CHILDOI_OVERVIEW.pdf,
Educational Opportunity Index,,2014,ZIP Code,Chicago Child Health,"The Child Opportunity Index evaluates the neighborhood-based opportunities that influence a child's health and development. The index is a z-score comparing all ZIP codes within a metropolitan area; higher values indicate better opportunity. The Educational Opportunity sub-index includes: adult educational attainment, student poverty rate, reading proficiency rate, math proficiency rate, early childhood education neighborhood participation patterns, high school graduation rate, proximity to high-quality early childhood education centers, and proximity to early childhood education centers of any type.",Brandeis University and the Kirwan Institute as modified and calculated by the Chicago Department of Public Health Office of Epidemiology. Methodology at http://www.diversitydatakids.org/files/CHILDOI/DOCS/DDK_KIRWAN_CHILDOI_OVERVIEW.pdf,
Health and Environmental Opportunity Index,,2014,ZIP Code,Chicago Child Health,"The Child Opportunity Index evaluates the neighborhood-based opportunities that influence a child's health and development. The index is a z-score comparing all ZIP codes within a metropolitan area; higher values indicate better opportunity. The Health and Environmental Opportunity sub-index includes: retail healthy food index, proximity to toxic waste release sites, volume of nearby toxic release, proximity to parks and open spaces, housing vacancy rates, and proximity to health care facilities.",Brandeis University and the Kirwan Institute as modified and calculated by the Chicago Department of Public Health Office of Epidemiology. Methodology at http://www.diversitydatakids.org/files/CHILDOI/DOCS/DDK_KIRWAN_CHILDOI_OVERVIEW.pdf,
Social and Economic Opportunity Index,,2014,ZIP Code,Chicago Child Health,"The Child Opportunity Index evaluates the neighborhood-based opportunities that influence a child's health and development. The index is a z-score comparing all ZIP codes within a metropolitan area; higher values indicate better opportunity. The Social and Economic Opportunity sub-index includes: neighborhood foreclosure rate, poverty rate, unemployment rate, public assistance rate, and proximity to employment.",Brandeis University and the Kirwan Institute as modified and calculated by the Chicago Department of Public Health Office of Epidemiology. Methodology at http://www.diversitydatakids.org/files/CHILDOI/DOCS/DDK_KIRWAN_CHILDOI_OVERVIEW.pdf,
Infant mortality rate,"per 10,000 births",2013,ZIP Code,Chicago Child Health,,"Illinois Department of Public Health, 2013 births data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Preterm births,% of live births,2013,ZIP Code,Chicago Child Health,Births that occur before the 37th week of pregnancy.,"Illinois Department of Public Health, 2013 births data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Low birth weight,% of live births,2013,ZIP Code,Chicago Child Health,"Less than 2,500 grams (5 pounds, 8 ounces).","Illinois Department of Public Health, 2013 births data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Very low birth weight,% of live births,2013,ZIP Code,Chicago Child Health,"Less than 1,500 grams (3 pounds, 5 ounces).","Illinois Department of Public Health, 2013 births data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Acute myocardial infarction hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,"Principal diagnosis. U.S. Postal Service ZIP Codes are designed to meet the day-to-day operational needs of the U.S. Postal Service and tend to change more frequently than every ten years. To account for this instability, as well as the emergence of new ZIP codes over the course of the decade and low population estimates in certain ZIP codes (i.e., less than 20,000 residents), some zip codes are combined.  1)The total number of hospitalizations and total population of ZIP codes 60707, 60638, and 60827 were included, regardless of whether the hospitalized individual resided within the Chicago city limits; 2) 60610 and 60654 are combined; 3) 60707 and 60635 are combined; 4) 60622 and 60642 are combined; 5) 60606, 60607, and 60661 are combined; 6) 60601, 60602, 60603, 60604, 60605, and 60611 are combined; 7) 60827 and 60633 are combined.","Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
"Asthma hospitalizations (<5 years, Chicago)","per 10,000 residents <5",2011,ZIP Code,Chicago Hospitalizations,Principal diagnosis.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
"Asthma hospitalizations (65+, Chicago)","per 10,000 residents 65+",2011,ZIP Code,Chicago Hospitalizations,Principal diagnosis.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Behavioral health hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,Principal diagnosis for mental health related disorders.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
"COPD hospitalizations (45+, Chicago)","per 10,000 residents 45+",2011,ZIP Code,Chicago Hospitalizations,"Principal diagnosis for chronic obstructory pulmonary disease, excluding acute bronchitis.","Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Diabetes hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,"Any diagnosis, principal or contributing.","Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Diabetes short-term complication hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,"Principal diagnosis for ketoacidosis, hyperosmolarity, or coma.","Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",http://www.qualityindicators.ahrq.gov/Downloads/Modules/PQI/V50/TechSpecs/PQI_01_Diabetes_Short-term_Complications_Admission_Rate.pdf
Diabetes long-term complication hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,"Principal diagnosis for renal, eye, neurological, circulatory, or other long-term complications.","Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",http://www.qualityindicators.ahrq.gov/Downloads/Modules/PQI/V50/TechSpecs/PQI_03_Diabetes_Long-term_Complications_Admission_Rate.pdf
Uncontrolled diabetes hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,Principal diagnosis for uncontrolled diabetes without mention of short-term or long-term complications.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Lower extremity amputations related to diabetes (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,Any diagnosis for lower extremity amputation and also for diabetes.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Heart disease hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,Principal diagnosis.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Heart failure hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,Principal diagnosis.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Hypertension hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,"Principal diagnosis, excluding kidney disease with dialysis, cardiac, or obstetric admissions.","Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",http://www.qualityindicators.ahrq.gov/Downloads/Modules/PQI/V50/TechSpecs/PQI_07_Hypertension_Admission_Rate.pdf
Mood disorder hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,Principal diagnosis for a mood disorder (bipolar disorder or depression).,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Preventable hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,"Hospitalizations due to: diabetes with short-term complications, diabetes with long-term complications, uncontrolled diabetes without complications, diabetes with lower extremity amuputation, chronic obstructive pulmonary disease, asthma, hypertension, heart failure, angina without a cardiac procedure, dehydration, bacterial pneumonia or urinary tract infection (Source: http://qualityindicators.ahrq.gov/Downloads/Modules/PQI/V50/TechSpecs/PQI_90_Prevention_Quality_Overall_Composite_.pdf).","Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Substance-related disorder hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,Principal diagnosis.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Schizophrenia hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,Principal diagnosis.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Stroke hospitalizations (Chicago),"per 10,000 residents",2011,ZIP Code,Chicago Hospitalizations,"Principal diagnosis for subarachnoid stroke, hemorrhagic stroke, ischemic stroke, or other cerebrovascular disease.","Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Asthma ER visits (<5 years),"per 10,000 residents <5",2011,ZIP Code,Chicago Emergency Room Visits,Principal diagnosis.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Asthma ER visits (<18 years),"per 10,000 residents <18",2011,ZIP Code,Chicago Emergency Room Visits,Principal diagnosis.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Asthma ER visits (65+),"per 10,000 residents 65+",2011,ZIP Code,Chicago Emergency Room Visits,Principal diagnosis.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Avoidable ER Visits,"per 10,000 residents",2011,ZIP Code,Chicago Emergency Room Visits,Principal diagnosis for avoidable emergency room visits (Source: http://www.dhcs.ca.gov/dataandstats/reports/Documents/MMCD_Qual_Rpts/EQRO_QIPs/CA2011-12_QIP_Coll_ER_Remeasure_Report.pdf).,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
COPD ER visits (45+),"per 10,000 residents 45+",2011,ZIP Code,Chicago Emergency Room Visits,"Any diagnosis, principal or contributing, for chronic obstructory pulmonary disorder, excluding acute bronchitis.","Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Non-traumatic dental hospitalizations,"per 10,000 residents",2011,ZIP Code,Chicago Emergency Room Visits,Principal diagnosis.,"Illinois Department of Public Health, Hospital Discharge Database, as analyzed by the Chicago Department of Public Health",
Annual years of potential life lost,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,"Years of potential life lost (YPLL) is a measure of premature mortality, recognizing that death at a younger age implies a greater loss of productive years than death in old age. YPLL is calculated for each person dying before age 75 by subtracting the age at death from 75, and then summed within each ZIP code. A higher YPLL indicates more premature death. ","Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
All cause mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Heart disease mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Cancer mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Female breast cancer mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Cervical cancer mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Colorectal cancer mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Diabetes mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Stroke mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
COPD mortality,"per 100,000 residents 45+",2011-2013,ZIP Code,Chicago Mortality,"Chronic obstructory pulmonary disease, for ages 45 and older.","Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Accidents mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Homicide mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Drug-induced mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Alcohol-induced mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
Suicide mortality,"per 100,000 residents",2011-2013,ZIP Code,Chicago Mortality,,"Illinois Department of Public Health, 2013 mortality data, as analyzed by the Chicago Department of Public Health, Office of Epidemiology",
